AgentID	Geography	Age	Gender	Alpha	Beta	Bid	Utility	Budget
60	US	15-20	F	2	2	1.396160497	0	1787
61	US	15-20	F	2	3	14.38651907	0	9531
62	US	15-20	F	2	5	13.69101709	0	2579
63	US	15-20	F	1	3	4.209234896	0	2869
64	US	15-20	F	1	4	0.074768082	0	5420
65	US	15-20	F	2	3	7.181599927	0	4351
66	US	15-20	F	1	4	5.743003776	0	9117
67	US	15-20	F	5	4	28.72406907	0	8716
68	US	15-20	F	3	1	1.004295962	0	6357
69	US	15-20	F	5	5	20.03913171	0	3210
70	US	15-20	F	3	5	16.23742005	0	1529
71	US	15-20	F	5	5	33.60357921	0	7017
72	US	15-20	F	3	5	9.1462365	0	6049
73	US	15-20	F	3	5	13.87632829	0	8413
74	US	15-20	F	5	1	6.019523433	0	5819
75	US	15-20	F	4	4	28.55387756	0	2361
76	US	15-20	F	5	4	24.11982063	0	8879
77	US	15-20	F	1	3	7.534717095	0	8298
78	US	15-20	F	2	2	6.944867685	0	9329
79	US	15-20	F	1	4	1.181979749	0	7424
80	US	15-20	F	2	5	13.80306716	0	9219
81	US	15-20	F	1	1	1.891985236	0	4746
82	US	15-20	F	1	4	3.084268264	0	3253
83	US	15-20	F	4	4	22.20956978	0	5900
84	US	15-20	F	3	3	14.51138039	0	1327
85	US	15-20	F	1	4	1.841442916	0	4045
86	US	15-20	F	4	1	4.06453958	0	8689
87	US	15-20	F	1	2	0.498954754	0	2773
88	US	15-20	F	2	3	4.873449339	0	1783
89	US	15-20	F	3	4	6.158587093	0	4509
90	US	15-20	F	3	2	2.800216433	0	6640
91	US	15-20	F	4	3	17.20004578	0	6998
92	US	15-20	F	1	1	0.334459994	0	5056
93	US	15-20	F	3	1	0.86235285	0	1568
94	US	15-20	F	4	5	24.40513554	0	9815
95	US	15-20	F	4	3	5.773153889	0	8148
96	US	15-20	F	2	2	3.817415765	0	5023
97	US	15-20	F	2	4	11.68272241	0	9296
98	US	15-20	F	2	3	7.114542319	0	3886
99	US	15-20	F	3	5	16.69173133	0	5201
100	US	15-20	F	2	1	1.966358887	0	7202
101	US	15-20	F	3	1	1.516656243	0	5940
102	US	15-20	F	5	1	7.95778772	0	5013
103	US	15-20	F	3	3	11.05615859	0	7960
104	US	15-20	F	3	2	2.999253881	0	7630
105	US	15-20	F	3	1	3.844693558	0	3958
106	US	15-20	F	4	5	31.57068352	0	1099
107	US	15-20	F	1	1	1.374904801	0	2078
108	US	15-20	F	5	3	28.82224967	0	6456
109	US	15-20	F	2	5	3.074739481	0	2824
110	US	21-25	M	4	1	2.795445114	0	1382
111	US	21-25	M	3	3	4.296133499	0	5042
112	US	21-25	M	5	3	20.92666484	0	1960
113	US	21-25	M	5	2	4.889421491	0	6403
114	US	21-25	M	5	4	14.05261157	0	1704
115	US	21-25	M	2	4	24.30983716	0	5433
116	US	21-25	M	1	4	9.359229417	0	6299
117	US	21-25	M	1	2	2.98907427	0	8316
118	US	21-25	M	3	3	2.836017742	0	5678
119	US	21-25	M	1	3	5.916269821	0	4026
120	US	21-25	M	4	4	31.41014607	0	9406
121	US	21-25	M	1	4	7.231723726	0	7393
122	US	21-25	M	1	3	1.30599914	0	4125
123	US	21-25	M	1	5	0.353578711	0	8988
124	US	21-25	M	2	2	3.83577171	0	3084
125	US	21-25	M	5	4	14.6029387	0	4738
126	US	21-25	M	5	1	2.521094645	0	4912
127	US	21-25	M	2	3	5.181560995	0	8484
128	US	21-25	M	3	3	6.925563266	0	9718
129	US	21-25	M	1	1	0.192469679	0	8755
130	US	21-25	M	2	5	15.8417552	0	4471
131	US	21-25	M	4	5	21.81446134	0	6041
132	US	21-25	M	5	1	2.794235742	0	4175
133	US	21-25	M	3	2	5.269992311	0	8980
134	US	21-25	M	4	4	21.37700618	0	2206
135	US	21-25	M	2	4	20.1971863	0	7595
136	US	21-25	M	3	5	4.134468578	0	2383
137	US	21-25	M	1	5	0.040577187	0	9551
138	US	21-25	M	5	2	8.218499563	0	8307
139	US	21-25	M	4	2	13.18165659	0	2107
140	US	21-25	M	2	1	1.498222213	0	2275
141	US	21-25	M	5	2	7.358296644	0	9565
142	US	21-25	M	2	3	4.316577795	0	8717
143	US	21-25	M	3	3	10.86013284	0	7228
144	US	21-25	M	3	5	17.71912639	0	5412
145	US	21-25	M	2	4	2.721232153	0	2146
146	US	21-25	M	1	4	1.849662496	0	3502
147	US	21-25	M	4	1	1.317215926	0	8760
148	US	21-25	M	2	4	14.63933685	0	8016
149	US	21-25	M	3	2	4.676880178	0	8182
150	US	21-25	M	5	3	9.355006657	0	4959
151	US	21-25	M	5	2	9.871865059	0	6288
152	US	21-25	M	1	4	0.421089663	0	5674
153	US	21-25	M	4	4	8.32820337	0	8156
154	US	21-25	M	1	5	1.592246571	0	5177
155	US	21-25	M	3	1	3.778474171	0	8352
156	US	21-25	M	5	1	6.478985905	0	9773
157	US	21-25	M	4	5	17.44688178	0	7264
158	US	21-25	M	5	5	27.2112807	0	4043
159	US	21-25	M	3	4	6.377316312	0	8698
160	US	21-25	M	1	1	0.028066894	0	7171
161	US	21-25	M	2	4	9.97584152	0	9320
162	US	21-25	M	2	2	1.20903145	0	8231
163	US	21-25	M	5	2	3.867465505	0	9250
164	US	21-25	M	1	1	1.114382092	0	2701
165	US	21-25	M	3	3	18.12908782	0	7845
166	US	21-25	M	4	5	32.33593756	0	3997
167	US	21-25	F	1	5	0.309168907	0	6952
168	US	21-25	F	2	1	1.842982356	0	7118
169	US	21-25	F	4	3	20.95767616	0	1646
170	US	21-25	F	1	3	5.644134322	0	3502
171	US	21-25	F	5	3	24.30093601	0	4567
172	US	21-25	F	5	1	7.586309429	0	1535
173	US	21-25	F	2	4	2.009171723	0	4442
174	US	21-25	F	1	5	3.550006831	0	5067
175	US	21-25	F	2	2	2.410102411	0	3677
176	US	21-25	F	1	3	6.640852162	0	1464
177	US	21-25	F	3	5	15.29776769	0	8347
178	US	21-25	F	3	1	1.604715398	0	7695
179	US	21-25	F	5	4	7.262670009	0	2222
180	US	21-25	F	3	1	2.701007413	0	2536
181	US	21-25	F	1	1	0.059670083	0	2965
182	US	21-25	F	1	4	6.762557372	0	1443
183	US	21-25	F	3	5	19.82200788	0	8587
184	US	21-25	F	2	2	1.631944741	0	7088
185	US	21-25	F	1	5	1.341509079	0	6141
186	US	21-25	F	1	2	0.991364063	0	5411
187	US	21-25	F	5	3	24.11575254	0	9272
188	US	21-25	F	3	1	4.087438141	0	9936
189	US	21-25	F	4	3	18.95331451	0	3879
190	US	21-25	F	5	1	5.231708658	0	3127
191	US	21-25	F	3	3	2.469019939	0	6872
192	US	21-25	F	3	2	9.229450052	0	7537
193	US	21-25	F	4	2	2.649928128	0	2157
194	US	21-25	F	2	4	5.266251949	0	8311
195	US	21-25	F	4	2	4.485339397	0	9518
196	US	21-25	F	3	4	12.89491163	0	5517
197	US	21-25	F	2	1	1.67083716	0	5951
198	US	21-25	F	5	5	47.38761589	0	3860
199	US	21-25	F	1	5	27.8246933	0	1142
200	US	21-25	F	4	5	21.37706842	0	1605
201	US	21-25	F	3	4	7.705093569	0	3465
202	US	21-25	F	1	5	0.900939897	0	5065
203	US	21-25	F	5	5	16.28842286	0	8463
204	US	21-25	F	3	3	16.39259158	0	3607
205	US	21-25	F	5	3	15.39729896	0	4045
206	US	21-25	F	2	2	0.902076156	0	1127
207	US	21-25	F	1	5	11.76494691	0	4696
208	US	21-25	F	4	4	10.0663549	0	6429
209	US	21-25	F	2	4	2.310251284	0	8282
210	US	21-25	F	4	1	5.689646195	0	3212
211	US	21-25	F	4	1	2.303587064	0	6882
212	US	21-25	F	2	5	10.05074248	0	8195
213	US	21-25	F	1	5	6.585743786	0	9101
214	US	21-25	F	4	1	2.153011307	0	6977
215	US	21-25	F	1	4	2.324190148	0	1341
216	US	21-25	F	2	4	8.016899157	0	7883
217	US	21-25	F	2	1	1.627654044	0	1762
218	US	21-25	F	4	2	7.180676448	0	9988
219	US	21-25	F	2	1	1.427849445	0	3516
220	US	21-25	F	3	5	22.19626714	0	7444
221	US	21-25	F	1	1	0.318767483	0	2082
222	US	21-25	F	1	1	0.356934439	0	6191
223	US	21-25	F	2	4	11.18105572	0	7885
224	US	21-25	F	4	4	30.85044019	0	6134
225	US	21-25	F	5	5	10.11795198	0	8734
226	US	21-25	F	4	5	39.48750178	0	3248
227	US	21-25	F	3	1	2.040614083	0	1915
228	US	21-25	F	3	4	10.60403859	0	3022
229	US	21-25	F	4	4	7.534955192	0	1552
230	US	21-25	F	1	2	0.956404654	0	9203
231	US	21-25	F	4	5	29.91093378	0	4938
232	US	21-25	F	3	5	12.39464537	0	8524
233	US	21-25	F	5	2	7.395328481	0	5442
234	US	21-25	F	3	4	19.6483274	0	2379
235	US	21-25	F	4	1	0.339638387	0	1683
236	US	21-25	F	5	3	14.0800772	0	7934
237	US	21-25	F	1	3	1.74953629	0	6050
238	US	21-25	F	4	4	16.86937914	0	1940
239	US	21-25	F	5	3	18.363351	0	9466
240	US	21-25	F	1	5	0.448853001	0	5385
241	US	21-25	F	4	4	29.37570825	0	4761
242	US	21-25	F	2	4	16.63338181	0	9569
243	US	21-25	F	5	3	11.78577488	0	2011
244	US	21-25	F	3	1	3.169596752	0	4905
245	US	21-25	F	1	2	0.936137198	0	5302
246	US	21-25	F	1	2	2.605718368	0	6716
247	US	21-25	F	3	1	1.904654657	0	7213
248	US	21-25	F	4	4	12.50847666	0	3737
249	US	21-25	F	3	5	14.79998724	0	4939
250	US	21-25	F	2	3	4.127729125	0	8161
251	US	21-25	F	1	4	3.351507948	0	3561
252	US	21-25	F	5	3	17.26961099	0	7465
253	US	21-25	F	1	4	1.253329617	0	1521
254	US	21-25	F	4	2	18.54822326	0	3763
255	US	21-25	F	3	3	21.71032636	0	8712
256	US	21-25	F	5	2	7.038766509	0	6103
257	US	21-25	F	1	5	5.934017507	0	7365
258	US	21-25	F	4	1	2.618951732	0	2835
259	US	21-25	F	1	2	1.748455146	0	9553
260	US	21-25	F	5	5	15.06576201	0	4838
261	US	21-25	F	4	5	25.94916041	0	2078
262	US	21-25	F	1	5	1.959670314	0	3215
263	US	21-25	F	2	1	2.930605131	0	8287
264	US	21-25	F	4	4	17.84544388	0	4949
