Date,DateCode,RealWorldPV,ScaledPV
3/27/2012,d2703,7541342241,3770
3/28/2012,d2803,8496347589,4248
3/29/2012,d2903,8042253657,4021
3/30/2012,d3003,8310525599,4155
3/31/2012,d3103,7747792962,3873
4/1/2012,d0104,7076063651,3538
4/2/2012,d0204,8952756960,4476
4/3/2012,d0304,8727741522,4363
4/4/2012,d0404,8353977226,4176
4/5/2012,d0504,8065848703,4032
4/6/2012,d0604,8429562589,4214
4/7/2012,d0704,8664062339,4332
4/8/2012,d0804,8037904949,4018
4/9/2012,d0904,7118794791,3559
4/10/2012,d1004,7989761513,3994
4/11/2012,d1104,8018385691,4009
4/12/2012,d1204,8811200733,4405
4/13/2012,d1304,7487738522,3743
4/14/2012,d1404,7652951135,3826
4/15/2012,d1504,8252552595,4126
4/16/2012,d1604,8155682320,4077
4/17/2012,d1704,8767140841,4383
4/18/2012,d1804,8323352361,4161
4/19/2012,d1904,7009978606,3504
4/20/2012,d2004,8267347684,4133
4/21/2012,d2104,8842743217,4421
4/22/2012,d2204,8608954263,4304
4/23/2012,d2304,8619972212,4309
4/24/2012,d2404,8089174172,4044
4/25/2012,d2504,7368542059,3684
4/26/2012,d2604,8785743442,4392
4/27/2012,d2704,8917571960,4458
4/28/2012,d2804,7652611703,3826
4/29/2012,d2904,8092415247,4046
4/30/2012,d3004,7009798597,3504
5/1/2012,d0105,8619967723,4309
5/2/2012,d0205,7646570516,3823
5/3/2012,d0305,7283217315,3641
5/4/2012,d0405,8614111674,4307
5/5/2012,d0505,7674569721,3837
5/6/2012,d0605,7688345176,3844
5/7/2012,d0705,8253461626,4126
5/8/2012,d0805,8739979912,4369
5/9/2012,d0905,8571765367,4285
5/10/2012,d1005,7546997895,3773
5/11/2012,d1105,7789554914,3894
5/12/2012,d1205,7191059997,3595
5/13/2012,d1305,7453428943,3726
5/14/2012,d1405,8087209608,4043
5/15/2012,d1505,7785859253,3892
5/16/2012,d1605,8138337323,4069
5/17/2012,d1705,7147653983,3573
5/18/2012,d1805,8150456813,4075
5/19/2012,d1905,8338605727,4169
5/20/2012,d2005,7839661845,3919
5/21/2012,d2105,8264148492,4132
5/22/2012,d2205,7093552910,3546
5/23/2012,d2305,7078252001,3539
5/24/2012,d2405,8630784014,4315
5/25/2012,d2505,8436899737,4218
5/26/2012,d2605,8432776821,4216
5/27/2012,d2705,8709678806,4354
5/28/2012,d2805,7550030852,3775
5/29/2012,d2905,7251852930,3625
5/30/2012,d3005,7643769405,3821
5/31/2012,d3105,7894567402,3947
6/1/2012,d0106,7281919565,3640
6/2/2012,d0206,8704415720,4352
6/3/2012,d0306,8647467955,4323
6/4/2012,d0406,7693737551,3846
6/5/2012,d0506,7812958955,3906
6/6/2012,d0606,8439326525,4219
6/7/2012,d0706,8447006199,4223
6/8/2012,d0806,8468945572,4234
6/9/2012,d0906,7203606851,3601
6/10/2012,d1006,8867855017,4433
6/11/2012,d1106,8814537386,4407
6/12/2012,d1206,7933197234,3966
6/13/2012,d1306,7790258470,3895
6/14/2012,d1406,8698546665,4349
6/15/2012,d1506,7993518331,3996
6/16/2012,d1606,8314515920,4157
6/17/2012,d1706,8756318054,4378
6/18/2012,d1806,8412778726,4206
6/19/2012,d1906,8821392204,4410
6/20/2012,d2006,7236378317,3618
6/21/2012,d2106,7268046365,3634
6/22/2012,d2206,8151268516,4075
6/23/2012,d2306,7825075129,3912
6/24/2012,d2406,8140824084,4070
6/25/2012,d2506,8048186017,4024
6/26/2012,d2606,7870670094,3935
6/27/2012,d2706,8265467404,4132
6/28/2012,d2806,7509306881,3754
6/29/2012,d2906,7249574726,3624
6/30/2012,d3006,7664499027,3832
7/1/2012,d0107,7044286003,3522
7/2/2012,d0207,8248381426,4124
7/3/2012,d0307,7688513165,3844
7/4/2012,d0407,8293878770,4146
7/5/2012,d0507,8228954273,4114
7/6/2012,d0607,7110028199,3555
7/7/2012,d0707,8653451233,4326
7/8/2012,d0807,8904432684,4452
7/9/2012,d0907,8361144455,4180
7/10/2012,d1007,7857646332,3928
7/11/2012,d1107,8677464841,4338
7/12/2012,d1207,7586098172,3793
7/13/2012,d1307,8489483483,4244
7/14/2012,d1407,8258096702,4129
7/15/2012,d1507,8820126753,4410
7/16/2012,d1607,7457440285,3728
7/17/2012,d1707,8475432876,4237
7/18/2012,d1807,7334727960,3667
7/19/2012,d1907,7590817247,3795
7/20/2012,d2007,7035092600,3517
7/21/2012,d2107,8303005436,4151
7/22/2012,d2207,7200253258,3600
7/23/2012,d2307,7408578433,3704
7/24/2012,d2407,8656326119,4328
7/25/2012,d2507,7870277225,3935
7/26/2012,d2607,7413851271,3706
7/27/2012,d2707,7902922583,3951
7/28/2012,d2807,7572767168,3786
7/29/2012,d2907,7240228799,3620
7/30/2012,d3007,8717360179,4358
7/31/2012,d3107,7677341563,3838
8/1/2012,d0108,7986653345,3993
8/2/2012,d0208,8522831965,4261
8/3/2012,d0308,7919990794,3959
8/4/2012,d0408,7844641101,3922
8/5/2012,d0508,7703734103,3851
8/6/2012,d0608,7758338022,3879
8/7/2012,d0708,8712996667,4356
8/8/2012,d0808,8951770259,4475
8/9/2012,d0908,8098307882,4049
8/10/2012,d1008,7728771436,3864
8/11/2012,d1108,7992065401,3996
8/12/2012,d1208,7719197834,3859
8/13/2012,d1308,7709550332,3854
8/14/2012,d1408,7200017557,3600
8/15/2012,d1508,8913839301,4456
8/16/2012,d1608,8127671656,4063
8/17/2012,d1708,7095441917,3547
8/18/2012,d1808,8548686409,4274
8/19/2012,d1908,7165523269,3582
8/20/2012,d2008,8392433812,4196
8/21/2012,d2108,7758123009,3879
8/22/2012,d2208,8550074919,4275
8/23/2012,d2308,7208942808,3604
8/24/2012,d2408,7312497846,3656
8/25/2012,d2508,8590651505,4295
8/26/2012,d2608,8031242733,4015
8/27/2012,d2708,7155902151,3577
8/28/2012,d2808,8208815897,4104
8/29/2012,d2908,7889076058,3944
8/30/2012,d3008,8239216973,4119
8/31/2012,d3108,8583745741,4291
9/1/2012,d0109,7319492286,3659
9/2/2012,d0209,8953127243,4476
9/3/2012,d0309,7393704244,3696
9/4/2012,d0409,8076063383,4038
9/5/2012,d0509,8947475974,4473
9/6/2012,d0609,7669020551,3834
9/7/2012,d0709,8721814936,4360
9/8/2012,d0809,8349793949,4174
9/9/2012,d0909,7175785002,3587
9/10/2012,d1009,7547906453,3773
9/11/2012,d1109,7917166595,3958
9/12/2012,d1209,7782270759,3891
9/13/2012,d1309,7373424048,3686
9/14/2012,d1409,7066138980,3533
9/15/2012,d1509,7816060092,3908
9/16/2012,d1609,8092664506,4046
9/17/2012,d1709,8314207000,4157
9/18/2012,d1809,7683464908,3841
9/19/2012,d1909,8872870576,4436
9/20/2012,d2009,8535000842,4267
9/21/2012,d2109,7950977190,3975
9/22/2012,d2209,8991355706,4495
9/23/2012,d2309,8910431635,4455
9/24/2012,d2409,7051406396,3525
9/25/2012,d2509,8538769943,4269
9/26/2012,d2609,7383757591,3691
9/27/2012,d2709,7393391290,3696
9/28/2012,d2809,8439034873,4219
9/29/2012,d2909,8053570796,4026
9/30/2012,d3009,7741546495,3870
10/1/2012,d0110,8061074770,4030
10/2/2012,d0210,8470621383,4235
10/3/2012,d0310,7960184818,3980
10/4/2012,d0410,8816184320,4408
10/5/2012,d0510,8260095175,4130
10/6/2012,d0610,8850816080,4425
10/7/2012,d0710,7557838135,3778
10/8/2012,d0810,7836011735,3918
10/9/2012,d0910,7280581178,3640
10/10/2012,d1010,7290540321,3645
10/11/2012,d1110,7072114736,3536
10/12/2012,d1210,8186429926,4093
10/13/2012,d1310,7558494827,3779
10/14/2012,d1410,7040276635,3520
10/15/2012,d1510,7819588181,3909
10/16/2012,d1610,8602450262,4301
10/17/2012,d1710,7329672756,3664
10/18/2012,d1810,7258967944,3629
10/19/2012,d1910,7123743035,3561
10/20/2012,d2010,8777041624,4388
10/21/2012,d2110,8781119261,4390
10/22/2012,d2210,8078554275,4039
10/23/2012,d2310,8211131481,4105
10/24/2012,d2410,8642630859,4321
10/25/2012,d2510,7793495260,3896
10/26/2012,d2610,8730285592,4365
10/27/2012,d2710,7927059600,3963
10/28/2012,d2810,8432778464,4216
10/29/2012,d2910,7006775222,3503
10/30/2012,d3010,7589115164,3794
10/31/2012,d3110,8384703393,4192
11/1/2012,d0111,8302406019,4151
11/2/2012,d0211,7491835062,3745
11/3/2012,d0311,7976086985,3988
11/4/2012,d0411,8291218078,4145
11/5/2012,d0511,8552368721,4276
11/6/2012,d0611,7483663432,3741
11/7/2012,d0711,7373125857,3686
11/8/2012,d0811,8595594802,4297
11/9/2012,d0911,7150249706,3575
11/10/2012,d1011,8674595431,4337
11/11/2012,d1111,8352598829,4176
11/12/2012,d1211,8899417462,4449
11/13/2012,d1311,8166649580,4083
11/14/2012,d1411,8190774382,4095
11/15/2012,d1511,8795087348,4397
11/16/2012,d1611,7743200121,3871
11/17/2012,d1711,8649456010,4324
11/18/2012,d1811,8093729252,4046
11/19/2012,d1911,7059417866,3529
11/20/2012,d2011,7468574708,3734
11/21/2012,d2111,8389045879,4194
11/22/2012,d2211,7355608298,3677
11/23/2012,d2311,7894283989,3947
11/24/2012,d2411,7438334548,3719
11/25/2012,d2511,8814996197,4407
11/26/2012,d2611,7592909058,3796
11/27/2012,d2711,7130212064,3565
11/28/2012,d2811,7371860068,3685
11/29/2012,d2911,7052211923,3526
11/30/2012,d3011,7851522837,3925
12/1/2012,d0112,7569916142,3784
12/2/2012,d0212,8325996572,4162
12/3/2012,d0312,7905748241,3952
12/4/2012,d0412,7938871112,3969
12/5/2012,d0512,7744726406,3872
12/6/2012,d0612,7812078814,3906
12/7/2012,d0712,7675287897,3837
12/8/2012,d0812,7933271525,3966
12/9/2012,d0912,7640440200,3820
12/10/2012,d1012,7287150757,3643
12/11/2012,d1112,8121926964,4060
12/12/2012,d1212,8861380614,4430
12/13/2012,d1312,8129446569,4064
12/14/2012,d1412,8177537465,4088
12/15/2012,d1512,7122695316,3561
12/16/2012,d1612,7004815310,3502
12/17/2012,d1712,8456046837,4228
12/18/2012,d1812,7496739729,3748
12/19/2012,d1912,7669150100,3834
12/20/2012,d2012,7396600338,3698
12/21/2012,d2112,7295122824,3647
12/22/2012,d2212,8969814502,4484
12/23/2012,d2312,7088544766,3544
12/24/2012,d2412,8192370400,4096
12/25/2012,d2512,8925833814,4462
12/26/2012,d2612,7483596602,3741
12/27/2012,d2712,7974914386,3987
12/28/2012,d2812,8604089972,4302
12/29/2012,d2912,7402909827,3701
12/30/2012,d3012,7524034480,3762
12/31/2012,d3112,8332990775,4166
